Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1,2021,April 5 2021,National,National Final,1 Baylor,86,1 Gonzaga,70,,+16,Indianapolis IN
2,2021,April 3 2021,National,National Semifinal,1 Gonzaga,93,11 UCLA,90,OT,+3,Indianapolis IN
3,2021,April 3 2021,National,National Semifinal,1 Baylor,78,2 Houston,59,,+19,Indianapolis IN
4,2021,March 30 2021,East,Regional Final,11 UCLA,51,1 Michigan,49,,+2,Indianapolis IN
5,2021,March 30 2021,West,Regional Final,1 Gonzaga,85,6 USC,66,,+19,Indianapolis IN
6,2021,March 29 2021,Midwest,Regional Final,2 Houston,67,12 Oregon State,61,,+6,Indianapolis IN
7,2021,March 29 2021,South,Regional Final,1 Baylor,81,3 Arkansas,72,,+9,Indianapolis IN
8,2021,March 28 2021,East,Regional Semifinal,11 UCLA,88,2 Alabama,78,OT,+10,Indianapolis IN
9,2021,March 28 2021,West,Regional Semifinal,6 USC,82,7 Oregon,68,,+14,Indianapolis IN
10,2021,March 28 2021,East,Regional Semifinal,1 Michigan,76,4 Florida State,58,,+18,Indianapolis IN
11,2021,March 28 2021,West,Regional Semifinal,1 Gonzaga,83,5 Creighton,65,,+18,Indianapolis IN
12,2021,March 27 2021,Midwest,Regional Semifinal,12 Oregon State,65,8 Loyola (IL),58,,+7,Indianapolis IN
13,2021,March 27 2021,Midwest,Regional Semifinal,2 Houston,62,11 Syracuse,46,,+16,Indianapolis IN
14,2021,March 27 2021,South,Regional Semifinal,1 Baylor,62,5 Villanova,51,,+11,Indianapolis IN
15,2021,March 27 2021,South,Regional Semifinal,3 Arkansas,72,15 Oral Roberts,70,,+2,Indianapolis IN
16,2021,March 22 2021,East,Second Round,11 UCLA,67,14 Abilene Christian,47,,+20,Indianapolis IN
17,2021,March 22 2021,West,Second Round,6 USC,85,3 Kansas,51,,+34,Indianapolis IN
18,2021,March 22 2021,West,Second Round,7 Oregon,95,2 Iowa,80,,+15,Indianapolis IN
19,2021,March 22 2021,East,Second Round,1 Michigan,86,8 LSU,78,,+8,Indianapolis IN
20,2021,March 22 2021,West,Second Round,1 Gonzaga,87,8 Oklahoma,71,,+16,Indianapolis IN
21,2021,March 22 2021,East,Second Round,4 Florida State,71,5 Colorado,53,,+18,Indianapolis IN
22,2021,March 22 2021,West,Second Round,5 Creighton,72,13 Ohio,58,,+14,Indianapolis IN
23,2021,March 22 2021,East,Second Round,2 Alabama,96,10 Maryland,77,,+19,Indianapolis IN
24,2021,March 21 2021,South,Second Round,5 Villanova,84,13 North Texas,61,,+23,Indianapolis IN
25,2021,March 21 2021,Midwest,Second Round,11 Syracuse,75,3 West Virginia,72,,+3,Indianapolis IN
26,2021,March 21 2021,Midwest,Second Round,12 Oregon State,80,4 Oklahoma State,70,,+10,Indianapolis IN
27,2021,March 21 2021,South,Second Round,15 Oral Roberts,81,7 Florida,78,,+3,Indianapolis IN
28,2021,March 21 2021,Midwest,Second Round,8 Loyola (IL),71,1 Illinois,58,,+13,Indianapolis IN
29,2021,March 21 2021,Midwest,Second Round,2 Houston,63,10 Rutgers,60,,+3,Indianapolis IN
30,2021,March 21 2021,South,Second Round,1 Baylor,76,9 Wisconsin,63,,+13,Indianapolis IN
31,2021,March 21 2021,South,Second Round,3 Arkansas,68,6 Texas Tech,66,,+2,Indianapolis IN
32,2021,March 20 2021,East,First Round,11 UCLA,73,6 BYU,62,,+11,Indianapolis IN
33,2021,March 20 2021,West,First Round,6 USC,72,11 Drake,56,,+16,Indianapolis IN
34,2021,March 20 2021,West,First Round,8 Oklahoma,72,9 Missouri,68,,+4,Indianapolis IN
35,2021,March 20 2021,West,First Round,13 Ohio,62,4 Virginia,58,,+4,Bloomington IN
36,2021,March 20 2021,East,First Round,1 Michigan,82,16 Texas Southern,66,,+16,West Lafayette IN
37,2021,March 20 2021,East,First Round,10 Maryland,63,7 UConn,54,,+9,West Lafayette IN
38,2021,March 20 2021,East,First Round,8 LSU,76,9 St. Bonaventure,61,,+15,Bloomington IN
39,2021,March 20 2021,West,First Round,3 Kansas,93,14 Eastern Washington,84,,+9,Indianapolis IN
40,2021,March 20 2021,West,First Round,2 Iowa,86,15 Grand Canyon,74,,+12,Indianapolis IN
41,2021,March 20 2021,West,First Round,1 Gonzaga,98,16 Norfolk State,55,,+43,Indianapolis IN
42,2021,March 20 2021,East,First Round,4 Florida State,64,13 UNC Greensboro,54,,+10,Indianapolis IN
43,2021,March 20 2021,West,First Round,5 Creighton,63,12 UCSB,62,,+1,Indianapolis IN
44,2021,March 20 2021,East,First Round,5 Colorado,96,12 Georgetown,73,,+23,Indianapolis IN
45,2021,March 20 2021,East,First Round,2 Alabama,68,15 Iona,55,,+13,Indianapolis IN
46,2021,March 20 2021,East,First Round,14 Abilene Christian,53,3 Texas,52,,+1,Indianapolis IN
47,2021,March 19 2021,South,First Round,9 Wisconsin,85,8 UNC,62,,+23,West Lafayette IN
48,2021,March 19 2021,Midwest,First Round,3 West Virginia,84,14 Morehead State,67,,+17,Indianapolis IN
49,2021,March 19 2021,South,First Round,5 Villanova,73,12 Winthrop,63,,+10,Indianapolis IN
50,2021,March 19 2021,South,First Round,6 Texas Tech,65,11 Utah State,53,,+12,Bloomington IN
51,2021,March 19 2021,Midwest,First Round,11 Syracuse,78,6 San Diego State,62,,+16,Indianapolis IN
52,2021,March 19 2021,Midwest,First Round,10 Rutgers,60,7 Clemson,56,,+4,Indianapolis IN
53,2021,March 19 2021,Midwest,First Round,12 Oregon State,70,5 Tennessee,56,,+14,Indianapolis IN
54,2021,March 19 2021,South,First Round,15 Oral Roberts,75,2 Ohio State,72,OT,+3,West Lafayette IN
55,2021,March 19 2021,Midwest,First Round,4 Oklahoma State,69,13 Liberty,60,,+9,Indianapolis IN
56,2021,March 19 2021,South,First Round,13 North Texas,78,4 Purdue,69,OT,+9,Indianapolis IN
57,2021,March 19 2021,Midwest,First Round,8 Loyola (IL),71,9 Georgia Tech,60,,+11,Indianapolis IN
58,2021,March 19 2021,Midwest,First Round,1 Illinois,78,16 Drexel,49,,+29,Indianapolis IN
59,2021,March 19 2021,Midwest,First Round,2 Houston,87,15 Cleveland State,56,,+31,Bloomington IN
60,2021,March 19 2021,South,First Round,7 Florida,75,10 Virginia Tech,70,OT,+5,Indianapolis IN
61,2021,March 19 2021,South,First Round,1 Baylor,79,16 Hartford,55,,+24,Indianapolis IN
62,2021,March 19 2021,South,First Round,3 Arkansas,85,14 Colgate,68,,+17,Indianapolis IN
63,2021,March 18 2021,East,First Four,11 UCLA,86,11 Michigan State,80,OT,+6,West Lafayette IN
64,2021,March 18 2021,East,First Four,16 Texas Southern,60,16 Mount St. Mary's,52,,+8,Bloomington IN
65,2021,March 18 2021,West,First Four,16 Norfolk State,54,16 Appalachian State,53,,+1,Bloomington IN
66,2021,March 18 2021,West,First Four,11 Drake,53,11 Wichita State,52,,+1,West Lafayette IN
67,2019,April 8 2019,National,National Final,1 Virginia,85,3 Texas Tech,77,OT,+8,Minneapolis MN
68,2019,April 6 2019,National,National Semifinal,1 Virginia,63,5 Auburn,62,,+1,Minneapolis MN
69,2019,April 6 2019,National,National Semifinal,3 Texas Tech,61,2 Michigan State,51,,+10,Minneapolis MN
70,2019,March 31 2019,East,Regional Final,2 Michigan State,68,1 Duke,67,,+1,Washington DC
71,2019,March 31 2019,Midwest,Regional Final,5 Auburn,77,2 Kentucky,71,OT,+6,Kansas City MO
72,2019,March 30 2019,South,Regional Final,1 Virginia,80,3 Purdue,75,OT,+5,Louisville KY
73,2019,March 30 2019,West,Regional Final,3 Texas Tech,75,1 Gonzaga,69,,+6,Anaheim CA
74,2019,March 29 2019,East,Regional Semifinal,2 Michigan State,80,3 LSU,63,,+17,Washington DC
75,2019,March 29 2019,Midwest,Regional Semifinal,2 Kentucky,62,3 Houston,58,,+4,Kansas City MO
76,2019,March 29 2019,East,Regional Semifinal,1 Duke,75,4 Virginia Tech,73,,+2,Washington DC
77,2019,March 29 2019,Midwest,Regional Semifinal,5 Auburn,97,1 UNC,80,,+17,Kansas City MO
78,2019,March 28 2019,South,Regional Semifinal,1 Virginia,53,12 Oregon,49,,+4,Louisville KY
79,2019,March 28 2019,West,Regional Semifinal,3 Texas Tech,63,2 Michigan,44,,+19,Anaheim CA
80,2019,March 28 2019,South,Regional Semifinal,3 Purdue,99,2 Tennessee,94,OT,+5,Louisville KY
81,2019,March 28 2019,West,Regional Semifinal,1 Gonzaga,72,4 Florida State,58,,+14,Anaheim CA
82,2019,March 24 2019,East,Second Round,4 Virginia Tech,67,12 Liberty,58,,+9,San Jose CA
83,2019,March 24 2019,South,Second Round,1 Virginia,63,9 Oklahoma,51,,+12,Columbia SC
84,2019,March 24 2019,West,Second Round,3 Texas Tech,78,6 Buffalo,58,,+20,Tulsa OK
85,2019,March 24 2019,South,Second Round,2 Tennessee,83,10 Iowa,77,OT,+6,Columbus OH
86,2019,March 24 2019,South,Second Round,12 Oregon,73,13 UC-Irvine,54,,+19,San Jose CA
87,2019,March 24 2019,Midwest,Second Round,1 UNC,81,9 Washington,59,,+22,Columbus OH
88,2019,March 24 2019,Midwest,Second Round,3 Houston,74,11 Ohio State,59,,+15,Tulsa OK
89,2019,March 24 2019,East,Second Round,1 Duke,77,9 UCF,76,,+1,Columbia SC
90,2019,March 23 2019,South,Second Round,3 Purdue,87,6 Villanova,61,,+26,Hartford CT
91,2019,March 23 2019,East,Second Round,2 Michigan State,70,10 Minnesota,50,,+20,Des Moines IA
92,2019,March 23 2019,West,Second Round,2 Michigan,64,10 Florida,49,,+15,Des Moines IA
93,2019,March 23 2019,East,Second Round,3 LSU,69,6 Maryland,67,,+2,Jacksonville FL
94,2019,March 23 2019,Midwest,Second Round,2 Kentucky,62,7 Wofford,56,,+6,Jacksonville FL
95,2019,March 23 2019,West,Second Round,1 Gonzaga,83,9 Baylor,71,,+12,Salt Lake City UT
96,2019,March 23 2019,West,Second Round,4 Florida State,90,12 Murray State,62,,+28,Hartford CT
97,2019,March 23 2019,Midwest,Second Round,5 Auburn,89,4 Kansas,75,,+14,Salt Lake City UT
98,2019,March 22 2019,Midwest,First Round,9 Washington,78,8 Utah State,61,,+17,Columbus OH
99,2019,March 22 2019,East,First Round,4 Virginia Tech,66,13 Saint Louis,52,,+14,San Jose CA
100,2019,March 22 2019,South,First Round,1 Virginia,71,16 Gardner-Webb,56,,+15,Columbia SC
101,2019,March 22 2019,South,First Round,12 Oregon,72,5 Wisconsin,54,,+18,San Jose CA
102,2019,March 22 2019,South,First Round,13 UC-Irvine,70,4 Kansas State,64,,+6,San Jose CA
103,2019,March 22 2019,East,First Round,9 UCF,73,8 VCU,58,,+15,Columbia SC
104,2019,March 22 2019,East,First Round,4 Virginia Tech,66,13 Saint Louis,52,,+14,San Jose CA
105,2019,March 22 2019,South,First Round,1 Virginia,71,16 Gardner-Webb,56,,+15,Columbia SC
106,2019,March 22 2019,Midwest,First Round,3 Houston,84,14 Georgia State,55,,+29,Tulsa OK
